Wall time,Step,Value
1720022895,649,0.901396275
1720023004,661,0.740342021
1720023032,664,0.900628328
1720023067,668,1.105659127
1720023093,671,0.948133469
1720023120,674,0.980041265
1720023154,678,0.9738819
1720023162,679,0.901445091
1720023199,683,0.986769438
1720023245,688,1.208755732
1720023404,706,0.901081502
1720023477,714,0.923682153
1720023513,718,0.887063324
1720023551,722,0.971104443
1720023560,723,0.955725491
1720023623,730,1.214505196
1720023704,739,1.156893373
1720023740,743,1.186204314
1720023776,747,1.337755084
1720023821,752,0.741366565
1720023856,756,0.899357855
1720023936,765,0.780134261
1720023973,769,1.200088501
1720023982,770,1.078216791
1720023991,771,1.026185036
1720024009,773,0.879807591
1720024018,774,0.900055885
1720024072,780,1.108752489
1720024106,784,1.044573903
1720024115,785,0.973772347
1720024133,787,0.908084273
1720024181,792,0.880285561
1720024190,793,1.067107439
1720024199,794,0.816346526
1720024234,798,0.858481705
1720024270,802,0.887848794
1720024314,807,1.002057314
1720024324,808,1.02598381
1720024333,809,1.011355281
1720024542,832,0.811404228
1720024576,836,0.949038088
1720024593,838,0.960398257
1720024637,843,0.835074484
1720024869,869,0.765087605
1720024917,874,0.905985534
1720024935,876,0.851513743
1720024990,882,0.74884975
1720025061,890,1.013804793
1720025113,896,0.860270202
1720025149,900,1.073960066
1720025212,907,0.968561113
1720025230,909,0.975347757
1720025284,915,0.842181146
1720025301,917,1.120698214
1720025326,920,0.914655685
1720025355,923,1.152541995
1720025428,931,0.676784575
1720025437,932,0.810348153
1720025462,935,0.824056625
1720025524,942,0.825302005
1720025549,945,0.89962399
1720025630,954,1.091214061
1720025667,958,0.988921046
1720025695,961,0.869320571
1720025703,962,0.71301949
1720025780,971,0.985438347
1720025788,972,0.933605194
1720025824,976,0.843078911
1720025843,978,0.99733299
1720025853,979,0.92435354
1720025898,984,0.717529833
1720025925,987,0.861509085
1720025934,988,0.743964851
1720026004,996,0.99651897
1720026039,1000,0.751685381
1720026056,1002,0.920695543
1720026085,1005,1.088035822
1720026168,1014,0.950375438
1720026195,1017,1.029434323
1720026266,1025,0.934964597
1720026373,1037,0.844826639
1720026434,1044,0.703651011
1720026551,1057,0.914270163
1720026607,1063,1.041859269
1720026634,1066,0.817248225
1720026652,1068,0.863967896
1720026690,1072,0.925813317
1720026726,1076,1.074627399
1720026744,1078,0.71329391
1720026788,1083,0.860419035
1720026798,1084,0.735664427
1720026879,1093,0.638646662
1720026932,1099,1.074209571
1720026967,1103,1.120364428
1720026976,1104,1.022442698
1720027062,1114,0.766964614
1720027108,1119,0.967883348
1720027232,1133,0.684748232
1720027431,1155,0.714712083
1720027440,1156,0.78260988
1720027475,1160,0.855742455
1720027483,1161,0.7818802
1720027492,1162,0.839613438
1720027657,1180,0.773981154
1720027766,1192,0.83733815
1720027775,1193,1.023643255
1720027830,1199,0.932678878
1720028205,1201,0.87410897
1720028251,1206,0.954766214
1720028478,1232,0.831159115
1720028496,1234,0.819021463
1720028586,1244,0.891194344
1720028685,1255,0.808920026
1720028712,1258,0.994296014
1720028740,1261,0.659509003
1720028918,1281,0.885622323
1720028973,1287,1.213733196
1720029035,1294,0.743158698
1720029089,1300,0.825602889
1720029175,1310,0.691923082
1720029222,1315,1.057910442
1720029231,1316,0.924699783
1720029259,1319,0.862265527
1720029330,1327,0.832280099
1720029356,1330,1.204548717
1720029382,1333,1.025143504
1720029406,1336,0.934843242
1720029414,1337,0.951985776
1720029576,1355,0.731333792
1720029710,1370,0.991116285
1720029843,1385,0.859672248
1720029869,1388,0.720638275
1720029878,1389,0.664683998
1720029895,1391,0.957213759
1720029903,1392,0.774494886
1720030096,1414,0.819520295
1720030140,1419,0.759762526
1720030168,1422,0.932518423
1720030204,1426,0.946483612
1720030222,1428,0.76528275
1720030258,1432,0.747202039
1720030294,1436,0.8411026
1720030330,1440,0.860889375
1720030547,1465,0.785701931
1720030555,1466,0.990989506
1720030651,1477,0.854567707
1720030722,1485,0.727638185
1720030730,1486,0.959391534
1720030758,1489,0.8462286
1720030776,1491,0.943324983
1720030863,1501,1.02081728
1720030923,1508,0.948309362
1720031051,1523,1.092118263
1720031060,1524,0.977056265
1720031085,1527,0.743088961
1720031296,1551,0.82086426
1720031304,1552,0.887877584
1720031322,1554,0.997003913
1720031385,1561,0.769651294
1720031446,1568,0.924640656
